Interval, Interval (UTC),Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Moisture.avg,Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Moisture.min,Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Moisture.max,Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Temperature.avg,Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Temperature.min,Soil_Measurement22_f073c947-18c3-4d30-b1f1-f790c2e769fe/Temperature.max
08/22/2021 02:34:00 AM,08/22/2021 01:34:00 AM,377,377,377,27,27,27
08/22/2021 02:34:30 AM,08/22/2021 01:34:30 AM,,,,,,
08/22/2021 02:35:00 AM,08/22/2021 01:35:00 AM,,,,,,
08/22/2021 02:35:30 AM,08/22/2021 01:35:30 AM,,,,,,
08/22/2021 02:36:00 AM,08/22/2021 01:36:00 AM,,,,,,
08/22/2021 02:36:30 AM,08/22/2021 01:36:30 AM,,,,,,
08/22/2021 02:37:00 AM,08/22/2021 01:37:00 AM,,,,,,
08/22/2021 02:37:30 AM,08/22/2021 01:37:30 AM,,,,,,
08/22/2021 02:38:00 AM,08/22/2021 01:38:00 AM,,,,,,
08/22/2021 02:38:30 AM,08/22/2021 01:38:30 AM,,,,,,
08/22/2021 02:39:00 AM,08/22/2021 01:39:00 AM,,,,,,
08/22/2021 02:39:30 AM,08/22/2021 01:39:30 AM,,,,,,
08/22/2021 02:40:00 AM,08/22/2021 01:40:00 AM,,,,,,
08/22/2021 02:40:30 AM,08/22/2021 01:40:30 AM,,,,,,
08/22/2021 02:41:00 AM,08/22/2021 01:41:00 AM,,,,,,
08/22/2021 02:41:30 AM,08/22/2021 01:41:30 AM,,,,,,
08/22/2021 02:42:00 AM,08/22/2021 01:42:00 AM,,,,,,
08/22/2021 02:42:30 AM,08/22/2021 01:42:30 AM,,,,,,
08/22/2021 02:43:00 AM,08/22/2021 01:43:00 AM,,,,,,
08/22/2021 02:43:30 AM,08/22/2021 01:43:30 AM,,,,,,
08/22/2021 02:44:00 AM,08/22/2021 01:44:00 AM,,,,,,
08/22/2021 02:44:30 AM,08/22/2021 01:44:30 AM,,,,,,
08/22/2021 02:45:00 AM,08/22/2021 01:45:00 AM,,,,,,
08/22/2021 02:45:30 AM,08/22/2021 01:45:30 AM,,,,,,
08/22/2021 02:46:00 AM,08/22/2021 01:46:00 AM,,,,,,
08/22/2021 02:46:30 AM,08/22/2021 01:46:30 AM,,,,,,
08/22/2021 02:47:00 AM,08/22/2021 01:47:00 AM,,,,,,
08/22/2021 02:47:30 AM,08/22/2021 01:47:30 AM,,,,,,
08/22/2021 02:48:00 AM,08/22/2021 01:48:00 AM,,,,,,
08/22/2021 02:48:30 AM,08/22/2021 01:48:30 AM,,,,,,
08/22/2021 02:49:00 AM,08/22/2021 01:49:00 AM,352.49352344612913,321,394,26.070790239983936,25,29
08/22/2021 02:49:30 AM,08/22/2021 01:49:30 AM,,,,,,
08/22/2021 02:50:00 AM,08/22/2021 01:50:00 AM,,,,,,
08/22/2021 02:50:30 AM,08/22/2021 01:50:30 AM,,,,,,
08/22/2021 02:51:00 AM,08/22/2021 01:51:00 AM,,,,,,
08/22/2021 02:51:30 AM,08/22/2021 01:51:30 AM,,,,,,
08/22/2021 02:52:00 AM,08/22/2021 01:52:00 AM,,,,,,
08/22/2021 02:52:30 AM,08/22/2021 01:52:30 AM,,,,,,
08/22/2021 02:53:00 AM,08/22/2021 01:53:00 AM,,,,,,
08/22/2021 02:53:30 AM,08/22/2021 01:53:30 AM,,,,,,
08/22/2021 02:54:00 AM,08/22/2021 01:54:00 AM,,,,,,
08/22/2021 02:54:30 AM,08/22/2021 01:54:30 AM,,,,,,
08/22/2021 02:55:00 AM,08/22/2021 01:55:00 AM,,,,,,
08/22/2021 02:55:30 AM,08/22/2021 01:55:30 AM,,,,,,
08/22/2021 02:56:00 AM,08/22/2021 01:56:00 AM,,,,,,
08/22/2021 02:56:30 AM,08/22/2021 01:56:30 AM,,,,,,
08/22/2021 02:57:00 AM,08/22/2021 01:57:00 AM,,,,,,
08/22/2021 02:57:30 AM,08/22/2021 01:57:30 AM,,,,,,
08/22/2021 02:58:00 AM,08/22/2021 01:58:00 AM,,,,,,
08/22/2021 02:58:30 AM,08/22/2021 01:58:30 AM,,,,,,
08/22/2021 02:59:00 AM,08/22/2021 01:59:00 AM,,,,,,
08/22/2021 02:59:30 AM,08/22/2021 01:59:30 AM,,,,,,
08/22/2021 03:00:00 AM,08/22/2021 02:00:00 AM,,,,,,
08/22/2021 03:00:30 AM,08/22/2021 02:00:30 AM,,,,,,
08/22/2021 03:01:00 AM,08/22/2021 02:01:00 AM,,,,,,
08/22/2021 03:01:30 AM,08/22/2021 02:01:30 AM,,,,,,
08/22/2021 03:02:00 AM,08/22/2021 02:02:00 AM,,,,,,
08/22/2021 03:02:30 AM,08/22/2021 02:02:30 AM,,,,,,
08/22/2021 03:03:00 AM,08/22/2021 02:03:00 AM,,,,,,
08/22/2021 03:03:30 AM,08/22/2021 02:03:30 AM,,,,,,
08/22/2021 03:04:00 AM,08/22/2021 02:04:00 AM,,,,,,
08/22/2021 03:04:30 AM,08/22/2021 02:04:30 AM,,,,,,
08/22/2021 03:05:00 AM,08/22/2021 02:05:00 AM,,,,,,
08/22/2021 03:05:30 AM,08/22/2021 02:05:30 AM,,,,,,
08/22/2021 03:06:00 AM,08/22/2021 02:06:00 AM,,,,,,
08/22/2021 03:06:30 AM,08/22/2021 02:06:30 AM,,,,,,
08/22/2021 03:07:00 AM,08/22/2021 02:07:00 AM,,,,,,
08/22/2021 03:07:30 AM,08/22/2021 02:07:30 AM,,,,,,
08/22/2021 03:08:00 AM,08/22/2021 02:08:00 AM,,,,,,
08/22/2021 03:08:30 AM,08/22/2021 02:08:30 AM,,,,,,
08/22/2021 03:09:00 AM,08/22/2021 02:09:00 AM,,,,,,
08/22/2021 03:09:30 AM,08/22/2021 02:09:30 AM,,,,,,
08/22/2021 03:10:00 AM,08/22/2021 02:10:00 AM,,,,,,
08/22/2021 03:10:30 AM,08/22/2021 02:10:30 AM,,,,,,
08/22/2021 03:11:00 AM,08/22/2021 02:11:00 AM,,,,,,
08/22/2021 03:11:30 AM,08/22/2021 02:11:30 AM,,,,,,
08/22/2021 03:12:00 AM,08/22/2021 02:12:00 AM,,,,,,
08/22/2021 03:12:30 AM,08/22/2021 02:12:30 AM,,,,,,
08/22/2021 03:13:00 AM,08/22/2021 02:13:00 AM,,,,,,
08/22/2021 03:13:30 AM,08/22/2021 02:13:30 AM,,,,,,
08/22/2021 03:14:00 AM,08/22/2021 02:14:00 AM,,,,,,
08/22/2021 03:14:30 AM,08/22/2021 02:14:30 AM,,,,,,
08/22/2021 03:15:00 AM,08/22/2021 02:15:00 AM,,,,,,
08/22/2021 03:15:30 AM,08/22/2021 02:15:30 AM,,,,,,
08/22/2021 03:16:00 AM,08/22/2021 02:16:00 AM,,,,,,
08/22/2021 03:16:30 AM,08/22/2021 02:16:30 AM,,,,,,
08/22/2021 03:17:00 AM,08/22/2021 02:17:00 AM,,,,,,
08/22/2021 03:17:30 AM,08/22/2021 02:17:30 AM,,,,,,
08/22/2021 03:18:00 AM,08/22/2021 02:18:00 AM,,,,,,
08/22/2021 03:18:30 AM,08/22/2021 02:18:30 AM,,,,,,
08/22/2021 03:19:00 AM,08/22/2021 02:19:00 AM,,,,,,
08/22/2021 03:19:30 AM,08/22/2021 02:19:30 AM,,,,,,
08/22/2021 03:20:00 AM,08/22/2021 02:20:00 AM,,,,,,
08/22/2021 03:20:30 AM,08/22/2021 02:20:30 AM,,,,,,
08/22/2021 03:21:00 AM,08/22/2021 02:21:00 AM,,,,,,
08/22/2021 03:21:30 AM,08/22/2021 02:21:30 AM,,,,,,
08/22/2021 03:22:00 AM,08/22/2021 02:22:00 AM,,,,,,
08/22/2021 03:22:30 AM,08/22/2021 02:22:30 AM,,,,,,
08/22/2021 03:23:00 AM,08/22/2021 02:23:00 AM,,,,,,
08/22/2021 03:23:30 AM,08/22/2021 02:23:30 AM,,,,,,
08/22/2021 03:24:00 AM,08/22/2021 02:24:00 AM,,,,,,
08/22/2021 03:24:30 AM,08/22/2021 02:24:30 AM,,,,,,
